timestamp,server_id,event_type,details,severity
2026-08-04T00:59:34Z,server-3,login_success,user=charlie ip=203.0.113.5,info
2026-08-04T01:00:40Z,server-5,cpu_usage,cpu=92%,critical
2026-08-04T01:02:32Z,server-4,login_failed,user=alice ip=10.0.0.8,warning
2026-08-04T01:03:02Z,server-4,login_failed,user=alice ip=10.0.0.8,warning
2026-08-04T01:03:32Z,server-4,login_failed,user=alice ip=10.0.0.8,warning
2026-08-04T01:04:02Z,server-4,login_failed,user=alice ip=10.0.0.8,warning
2026-08-04T01:04:32Z,server-4,login_failed,user=alice ip=10.0.0.8,warning
2026-08-04T01:04:35Z,server-1,login_success,user=admin ip=198.51.100.7,info
2026-08-04T01:05:02Z,server-4,login_failed,user=alice ip=10.0.0.8,warning
2026-08-04T01:08:11Z,server-4,cpu_usage,cpu=95%,critical
2026-08-04T01:11:29Z,server-3,file_access,file=C:\Windows\System32\config\SAM user=alice,warning
2026-08-04T01:14:41Z,server-4,cpu_usage,cpu=26%,info
2026-08-04T01:16:01Z,server-2,login_success,user=charlie ip=198.51.100.7,info
2026-08-04T01:18:40Z,server-3,login_success,user=admin ip=10.0.0.5,info
2026-08-04T01:21:01Z,server-4,login_success,user=jessica ip=10.0.0.12,info
2026-08-04T01:24:42Z,server-4,cpu_usage,cpu=58%,info
2026-08-04T01:26:09Z,server-4,login_success,user=alice ip=203.0.113.5,info
2026-08-04T01:29:38Z,server-3,login_success,user=mike ip=192.168.1.10,info
2026-08-04T01:30:54Z,server-3,login_failed,user=service_account ip=203.0.113.5,warning
2026-08-04T01:32:39Z,server-2,file_access,file=/var/log/syslog user=bob,info
2026-08-04T01:34:58Z,server-3,cpu_usage,cpu=65%,warning
2026-08-04T01:36:38Z,server-1,file_access,file=/home/alice/report.pdf user=root,info
2026-08-04T01:37:44Z,server-3,login_success,user=jessica ip=10.0.0.12,info
2026-08-04T01:40:14Z,server-4,cpu_usage,cpu=27%,info
2026-08-04T01:41:56Z,server-1,login_success,user=guest ip=10.1.1.15,info
2026-08-04T01:45:55Z,server-3,login_success,user=charlie ip=10.1.1.15,info
2026-08-04T01:47:18Z,server-2,cpu_usage,cpu=97%,critical
2026-08-04T01:50:39Z,server-1,login_success,user=jessica ip=203.0.113.5,info
2026-08-04T01:51:32Z,server-3,login_failed,user=service_account ip=203.0.113.5,warning
2026-08-04T01:52:02Z,server-3,login_failed,user=service_account ip=203.0.113.5,warning
2026-08-04T01:52:32Z,server-3,login_failed,user=service_account ip=203.0.113.5,warning
2026-08-04T01:52:54Z,server-5,login_success,user=guest ip=192.168.1.10,info
2026-08-04T01:53:02Z,server-3,login_failed,user=service_account ip=203.0.113.5,warning
2026-08-04T01:53:32Z,server-3,login_failed,user=service_account ip=203.0.113.5,warning
2026-08-04T01:54:02Z,server-3,login_failed,user=service_account ip=203.0.113.5,warning
2026-08-04T01:56:32Z,server-2,login_failed,user=mike ip=10.0.0.8,warning
2026-08-04T01:56:32Z,server-3,login_success,user=admin ip=192.168.1.10,info
2026-08-04T01:57:02Z,server-2,login_failed,user=mike ip=10.0.0.8,warning
